Movie_ID,Title,Release Date,Poster URL,Description,Genres,Director,Crew,Trailer
1,Spider-Man,2002-05-01,https://image.tmdb.org/t/p/w500/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.","Action, Science Fiction",Sam Raimi,"Danny Elfman, David Koepp, Don Burgess, Arthur Coburn, Bob Murawski",https://www.youtube.com/watch?v=t06RUxPbp_c
2,SPIDERMAN,,https://image.tmdb.org/t/p/w500None,,,Unknown,,No trailer available.
3,Spider-Man: Homecoming,2017-07-05,https://image.tmdb.org/t/p/w500/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.","Action, Adventure, Science Fiction, Drama",Jon Watts,"Louis D'Esposito, Victoria Alonso, Patricia Whitcher, Jeremy Latcham, Mitchell Bell",https://www.youtube.com/watch?v=xEvV3OsE2WM
4,Spider-Man!,1993-10-01,https://image.tmdb.org/t/p/w500/lvXFC3xpMdaIqjFMVEfjpSrelPm.jpg,"After being bitten by a radioactive spider, Peter Parker uses his new powers to locate and catch the killer of his beloved Uncle Ben.
 First of the three short films made by ""The Trauma Group"" (Naxo Fiol, Chema Ponze, Gabi Tintorer) on the Marvel character between 1993 and 1996. This is the first film made in Spain, shot without more budget than the spent in the costume of the hero (60,000 pesetas of 1993) and shot with a video-8 camera of the time, so the image and the sound, together with the passage of time make the quality of both very poor. Halfway between the experimental, psychotronic cinema and avant-garde cinema, it´s a very extravagant version of the character, softened in the second incursion of the Trauma Group in the character: ""Peter Parker is Spider-Man"" (1996), closer than this to the original comic.","Action, Drama",Naxo Fiol,"Naxo Fiol, Chema Ponze, Steve Ditko, Naxo Fiol, Naxo Fiol",No trailer available.
5,Spider-Man: All Roads Lead to No Way Home,2022-05-03,https://image.tmdb.org/t/p/w500/e2LLmI5wKIrWGAy9Of3yyWu7Szn.jpg,"JB Smoove and Martin Starr host a celebration of 20 years of ""Spider-Man"" movies, from the Sam Raimi trilogy to Marc Webb's movies and the trio from Jon Watts.",Documentary,Unknown,,https://www.youtube.com/watch?v=Sn68AF2MGo8
6,Spider-Man: Across the Spider-Verse,2023-05-31,https://image.tmdb.org/t/p/w500/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.","Animation, Action, Adventure, Science Fiction",Kemp Powers,"Kemp Powers, Justin K. Thompson, Alonzo Ruvalcaba, Christina Steinberg, Avi Arad",https://www.youtube.com/watch?v=yFrxzaBLDQM
7,Spider-Man: No Way Home,2021-12-15,https://image.tmdb.org/t/p/w500/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.","Action, Adventure, Science Fiction",Jon Watts,"Bridgit Crider, Kat Connelly, Dominic Mombrun, Anne Morgan, Yeşim ""Shimmy"" Osman",https://www.youtube.com/watch?v=1mTjfMFyPi8
8,Spider-Man: Into the Spider-Verse,2018-12-06,https://image.tmdb.org/t/p/w500/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.","Animation, Action, Adventure, Science Fiction",Bob Persichetti,"Lisa Bechard, Kier Lehman, Min Hong, Charles Abou Aad, Benjamin Aguillon",https://www.youtube.com/watch?v=tg52up16eq0
9,The Amazing Spider-Man 2,2014-04-16,https://image.tmdb.org/t/p/w500/dGjoPttcbKR5VWg1jQuNFB247KL.jpg,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.","Action, Adventure, Science Fiction",Marc Webb,"Tom Holkenborg, Deborah L. Scott, Avi Arad, Alex Kurtzman, Jeff Pinkner",https://www.youtube.com/watch?v=DlM2CWNTQ84
10,"Superman, Spider-Man or Batman",2011-06-01,https://image.tmdb.org/t/p/w500/iUp85s5s7eaPbuCUNqOCeJCEVpY.jpg,"Aron, a 5-year-old boy, sets together with his worried father on a journey at the end of which he wishes, like the superheroes in the comic books, to save his mother suffering from a heart condition.",Drama,Tudor Giurgiu,"Tudor Giurgiu, Doru Lupeanu, Bogdan Crăciun, Adrian Silișteanu, Eugen Kelemen",https://www.youtube.com/watch?v=vlzW65U5IAo
