genres,original_language,original_title,release_date,title,video,procced_genres,id_p
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,GoldenEye,1995-11-16,GoldenEye,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } ],1
"[{'id': 35, 'name': 'Comedy'}]",en,Friday,1995-04-26,Friday,False,[ { 'id ' 35 'name ' 'comedi ' } ],2
"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",en,From Dusk Till Dawn,1996-01-19,From Dusk Till Dawn,False,[ { 'id ' 27 'name ' 'horror ' } { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } { 'id ' 80 'name ' 'crime ' } ],3
"[{'id': 35, 'name': 'Comedy'}]",en,Blue in the Face,1995-09-15,Blue in the Face,False,[ { 'id ' 35 'name ' 'comedi ' } ],4
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",en,Mighty Morphin Power Rangers: The Movie,1995-06-30,Mighty Morphin Power Rangers: The Movie,False,[ { 'id ' 28 'name ' 'action ' } { 'id ' 12 'name ' 'adventur ' } { 'id ' 878 'name ' 'scienc fiction ' } { 'id ' 10751 'name ' 'famili ' } { 'id ' 14 'name ' 'fantasi ' } ],5
"[{'id': 35, 'name': 'Comedy'}]",en,Clerks,1994-09-13,Clerks,False,[ { 'id ' 35 'name ' 'comedi ' } ],6
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",en,Star Wars,1977-05-25,Star Wars,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 878 'name ' 'scienc fiction ' } ],7
"[{'id': 16, 'name': 'Animation'}]",en,The Swan Princess,1994-11-18,The Swan Princess,False,[ { 'id ' 16 'name ' 'anim ' } ],8
"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",en,The Lion King,1994-06-23,The Lion King,False,[ { 'id ' 10751 'name ' 'famili ' } { 'id ' 16 'name ' 'anim ' } { 'id ' 18 'name ' 'drama ' } ],9
"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",en,Jurassic Park,1993-06-11,Jurassic Park,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 878 'name ' 'scienc fiction ' } ],10
